year_count,1000_gpu,model,top_sum,top_1,model,top_500,model
1993.418207,,,1.13E+12,59700000000,CM-5/1024,420000000,
1993.837098,,,1.49E+12,1.24E+11,Numerical Wind Tunnel,470000000,
1994.417522,,,2.32E+12,1.43E+11,XP/S140,840000000,
1994.836413,,,2.73E+12,1.70E+11,Numerical Wind Tunnel,1160000000,
1995.416838,,,3.93E+12,1.70E+11,Numerical Wind Tunnel,1960000000,
1995.835729,,,4.78E+12,1.70E+11,Numerical Wind Tunnel,2490000000,
1996.418891,,,5.89E+12,2.20E+11,SR2201/1024,3310000000,
1996.837782,,,7.98E+12,3.68E+11,CP-PACS/2048,4620000000,
1997.418207,,,1.28E+13,1.07E+12,CP-PACS/2048,7670000000,
1997.837098,,,1.69E+13,1.34E+12,CP-PACS/2048,9510000000,
1998.417522,,,2.26E+13,1.34E+12,CP-PACS/2048,13390000000,
1998.836413,,,2.94E+13,1.34E+12,CP-PACS/2048,17120000000,
1999.416838,,,3.91E+13,2.12E+12,CP-PACS/2048,24700000000,
1999.778234,1.27E+09,GeForce256 SDR,,,,,
1999.835729,,,5.09E+13,2.38E+12,ASCI Red,33090000000,
2000.418891,,,6.42E+13,2.38E+12,ASCI Red,43820000000,
2000.492813,2.88E+09,GeForce2 MX,,,,,
2000.621492,1.04E+09,GeForce2 Ultra,,,,,
2000.837782,,,8.81E+13,4.94E+12,ASCI White,55300000000,
2000.930869,1.18E+09,GeForce2 Pro,,,,,
2001.138946,2.85E+09,Radeon VE / 7000,,,,,
2001.160849,4.28E+09,GeForce3,,,,,
2001.1718,3.11E+09,GeForce2 MX 400,,,,,
2001.1718,3.58E+09,GeForce2 MX 200,,,,,
2001.418207,,,1.08E+14,7.23E+12,ASCI White,67780000000,
2001.620808,7.37E+09,Radeon 8500,,,,,
2001.620808,3.02E+09,Radeon 7500,,,,,
2001.664613,7.25E+09,AIW Radeon 8500 DV,,,,,
2001.752225,7.27E+09,GeForce3 Ti 500,,,,,
2001.752225,1.26E+10,GeForce3Ti 200,,,,,
2001.752225,3.36E+09,GeForce2 Ti,,,,,
2001.837098,,,1.35E+14,7.23E+12,ASCI White,94300000000,
2002.097194,1.36E+10,Radeon 8500 LE / 9100,,,,,
2002.102669,8.16E+09,GeForce4 Ti 4600,,,,,
2002.102669,9.98E+09,GeForce4 Ti 4400,,,,,
2002.102669,1.52E+10,GeForce4 Ti 4200 64MB,,,,,
2002.102669,1.36E+10,GeForce4 Ti 4200 128MB,,,,,
2002.102669,3.41E+09,GeForce4 MX 460,,,,,
2002.102669,4.21E+09,GeForce4 MX 440,,,,,
2002.102669,5.14E+09,GeForce4 MX 420,,,,,
2002.417522,,,2.22E+14,3.59E+13,Earth-Simulator,1.34E+11,
2002.499658,5.30E+10,Radeon 9700 Pro,,,,,
2002.499658,5.99E+10,Radeon 9700,,,,,
2002.499658,4.98E+10,Radeon 9000,,,,,
2002.546201,4.63E+10,Radeon 9000 Pro,,,,,
2002.75154,9.00E+10,Radeon 9500 Pro,,,,,
2002.836413,,,2.92E+14,3.59E+13,Earth-Simulator,1.96E+11,
2003.164956,5.12E+10,Radeon 9500,,,,,
2003.164956,6.35E+10,Radeon 9800 Pro,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
